"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
139;"Willi Orban";"RasenBallsport Leipzig";20;1782;1;0;2.71;0.54;0.14;0.03
140;"Marco Friedl";"Werder Bremen";18;1585;1;0;0.73;0.28;0.04;0.02
141;"Hauke Wahl";"St. Pauli";18;1576;1;0;0.37;0.1;0.02;0.01
142;"Jonas Föhrenbach";"FC Heidenheim";19;1660;1;1;0.57;2.23;0.03;0.12
143;"Nikolas Nartey";"VfB Stuttgart";18;824;1;0;2.71;2.2;0.3;0.24
144;"Stanley N&#039;Soki";"Union Berlin";5;182;1;1;0.11;0.1;0.06;0.05
145;"Elvis Rexhbecaj";"Augsburg";17;868;1;0;0.45;0.66;0.05;0.07
146;"Lucas Höler";"Freiburg";19;1288;1;1;3.01;1.31;0.21;0.09
147;"Joshua Vagnoman";"VfB Stuttgart";18;1335;1;3;3.56;2.12;0.24;0.14
148;"Bote Baku";"RasenBallsport Leipzig";18;1517;1;2;1.3;3.85;0.08;0.23
149;"Andras Schafer";"Union Berlin";16;703;1;0;1.07;0.2;0.14;0.03
150;"Robert Andrich";"Bayer Leverkusen";18;1407;1;0;0.51;0.32;0.03;0.02
151;"Andreas Skov Olsen";"Wolfsburg";8;365;1;0;0.2;0.89;0.05;0.22
152;"Denis Vavro";"Wolfsburg";7;278;1;0;0.57;0;0.18;0
153;"Chrislain Matsima";"Augsburg";14;1260;1;1;0.53;0.58;0.04;0.04
154;"Silas Wamangituka";"Mainz 05";3;138;1;0;1.53;0.11;1;0.07
155;"Paul Nebel";"Mainz 05";16;1099;1;0;2.4;1.63;0.2;0.13
156;"Vladimir Coufal";"Hoffenheim";20;1798;1;4;0.59;3.17;0.03;0.16
157;"Eric Martel";"FC Cologne";19;1546;1;2;0.54;1.88;0.03;0.11
158;"Robert Glatzel";"Hamburger SV";12;124;1;0;0.88;0.22;0.64;0.16
159;"Castello Lukeba";"RasenBallsport Leipzig";16;1440;1;0;0.72;0.17;0.05;0.01
160;"Joe Scally";"Borussia M.Gladbach";18;1523;1;2;2.49;0.88;0.15;0.05
161;"Patrick Osterhage";"Freiburg";15;840;1;0;1.25;0.31;0.13;0.03
162;"Hiroki Ito";"Bayern Munich";8;415;1;2;1.46;0.6;0.32;0.13
163;"Angelo Stiller";"VfB Stuttgart";20;1603;1;4;2.34;3.14;0.13;0.18
164;"Moritz Jenz";"Wolfsburg";13;1170;1;0;0.66;0.07;0.05;0.01
165;"Kristijan Jakic";"Augsburg";15;1071;1;1;0.38;1.11;0.03;0.09
166;"Arthur Theate";"Eintracht Frankfurt";18;1615;1;0;1.01;0.43;0.06;0.02
167;"Jarell Quansah";"Bayer Leverkusen";16;1243;1;0;0.86;0.56;0.06;0.04
168;"Yannick Engelhardt";"Borussia M.Gladbach";18;1390;1;1;1.35;0.48;0.09;0.03
169;"Tom Rothe";"Union Berlin";12;524;1;0;1.24;0.53;0.21;0.09
170;"Oscar Fraulo";"Borussia M.Gladbach";4;30;1;0;0.74;0;2.21;0
171;"Farès Chaïbi";"Eintracht Frankfurt";15;1124;1;7;1.78;2.87;0.14;0.23
172;"Tim Skarke";"Union Berlin";12;325;1;0;0.75;0.18;0.21;0.05
173;"Yan Couto";"Borussia Dortmund";13;842;1;2;0.5;2.65;0.05;0.28
174;"Kim Min-Jae";"Bayern Munich";13;779;1;1;0.55;0.33;0.06;0.04
175;"Keke Maximilian Topp";"Werder Bremen";15;399;1;1;1.07;0.8;0.24;0.18
176;"Jovan Milosevic";"Werder Bremen";5;181;1;0;0.55;0;0.27;0
177;"Grant-Leon Ranos";"Borussia M.Gladbach";8;89;1;0;0.53;0.08;0.54;0.08
178;"Patrick Mainka";"FC Heidenheim";20;1800;1;1;1.43;0.99;0.07;0.05
179;"Adrian Beck";"FC Heidenheim";16;723;1;0;0.86;0.79;0.11;0.1
180;"Jan Schöppner";"FC Heidenheim";19;1353;1;1;0.7;1.38;0.05;0.09
181;"Arthur";"Bayer Leverkusen";12;821;1;3;1.19;1.06;0.13;0.12
182;"Hugo Larsson";"Eintracht Frankfurt";13;806;1;2;0.73;0.29;0.08;0.03
183;"Benedict Hollerbach";"Mainz 05";14;903;1;2;2.98;1.88;0.3;0.19
184;"Mikkel Kaufmann";"FC Heidenheim";13;481;1;1;1.38;1.27;0.26;0.24
185;"Junior Adamu";"Freiburg";9;456;1;1;1.79;1.25;0.35;0.25
186;"Nnamdi Collins";"Eintracht Frankfurt";17;1024;1;1;0.33;0.4;0.03;0.03
187;"Philipp Sander";"Borussia M.Gladbach";16;1257;1;0;0.54;0.2;0.04;0.01
188;"Kaishu Sano";"Mainz 05";20;1800;1;1;0.9;1.62;0.04;0.08
189;"Samuel Essende";"Augsburg";14;361;1;0;1.46;0.43;0.36;0.11
190;"Alexander Prass";"Hoffenheim";18;688;1;1;0.75;1.17;0.1;0.15
