"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
118;"Seko Fofana";"Rennes";12;659;1;0;0.76;0.65;0.1;0.09
119;"Ainsley Maitland-Niles";"Lyon";19;1559;1;3;2.33;2.34;0.13;0.14
120;"Fabián";"Paris Saint Germain";13;805;1;2;1.53;1.22;0.17;0.14
121;"Aissa Mandi";"Lille";17;1352;1;0;0.59;0.42;0.04;0.03
122;"Benjamin Pavard";"Marseille";15;1055;1;2;0.73;1.79;0.06;0.15
123;"Rémy Cabella";"Nantes";4;295;1;0;1.48;0.82;0.45;0.25
124;"Valentin Rongier";"Rennes";18;1580;1;2;0.62;2.82;0.04;0.16
125;"Gautier Lloris";"Le Havre";17;1424;1;1;1.01;1.04;0.06;0.07
126;"Jean-Philippe Gbamin";"Metz";19;1558;1;1;1.61;0.77;0.09;0.04
127;"Laurent Abergel";"Lorient";19;1658;1;0;0.65;0.78;0.04;0.04
128;"Pierre Lees-Melou";"Brest,Paris FC";13;1074;1;1;1.11;0.71;0.09;0.06
129;"Jonathan Ikone";"Paris FC";11;322;1;0;0.73;0.56;0.2;0.16
130;"Hugo Magnetti";"Brest";19;1571;1;0;0.42;0.71;0.02;0.04
131;"Ruben Aguilar";"Lens";19;1473;1;1;0.72;1.79;0.04;0.11
132;"Chidozie Awaziem";"Nantes";17;1523;1;1;0.37;0.9;0.02;0.05
133;"Jessy Deminguet";"Metz";19;1210;1;0;0.17;0.09;0.01;0.01
134;"Mahdi Camara";"Rennes";18;1421;1;1;0.84;1.71;0.05;0.11
135;"Mohammed Salisu";"Monaco";12;1080;1;0;0.88;0.15;0.07;0.01
136;"Hamed Junior Traore";"Marseille";5;261;1;1;1.03;0.7;0.35;0.24
137;"Francisco Sierralta";"Auxerre";10;869;1;0;0.73;0.04;0.08;0
138;"Lee Kang-In";"Paris Saint Germain";15;904;1;2;1.7;3.16;0.17;0.31
139;"Hichem Boudaoui";"Nice";14;941;1;2;2.18;0.95;0.21;0.09
140;"Boubacar Traore";"Metz";16;1168;1;0;0.88;0.22;0.07;0.02
141;"Georges Mikautadze";"Lyon";2;180;1;0;1.24;0;0.62;0
142;"Melvin Bard";"Nice";18;1509;1;1;0.31;0.95;0.02;0.06
143;"Jonathan Clauss";"Nice";17;1427;1;4;0.91;3.84;0.06;0.24
144;"Sinaly Diomande";"Auxerre";10;878;1;0;1.51;0.04;0.16;0
145;"Vitinha";"Paris Saint Germain";19;1478;1;7;0.77;2.72;0.05;0.17
146;"Dilane Bakwa";"Strasbourg";3;94;1;2;0.08;0.67;0.07;0.64
147;"Quentin Merlin";"Rennes";19;1341;1;3;1.5;2.89;0.1;0.19
148;"Przemyslaw Frankowski";"Rennes";16;1128;1;2;0.34;2.38;0.03;0.19
149;"Jim Allevinah";"Angers";6;110;1;0;0.71;0.03;0.58;0.02
150;"Igor Silva";"Lorient";11;926;1;0;0.2;0.45;0.02;0.04
151;"Tanner Tessmann";"Lyon";18;1304;1;0;1.95;1.21;0.13;0.08
152;"Lohann Doucet";"Paris FC";5;114;1;0;0.61;0.09;0.48;0.07
153;"Junior Mwanga";"Nantes,Strasbourg";17;1452;1;1;1.15;0.98;0.07;0.06
154;"Luca Koleosho";"Paris FC";3;70;1;0;0.55;0.02;0.71;0.02
155;"Warren Zaïre-Emery";"Paris Saint Germain";20;1608;1;3;0.77;2.65;0.04;0.15
156;"Anthony Rouault";"Rennes";12;938;1;0;1.33;0.07;0.13;0.01
157;"Kévin Danois";"Auxerre";19;1593;1;1;1.45;2.32;0.08;0.13
158;"Ousmane Camara";"Angers";19;1595;1;0;0.17;0.12;0.01;0.01
159;"Abdallah Sima";"Lens";10;205;1;0;0.35;0.08;0.16;0.03
160;"Julio Enciso";"Strasbourg";13;927;1;2;3.84;1.51;0.37;0.15
161;"Ethan Nwaneri";"Marseille";2;130;1;0;0.42;0.29;0.29;0.2
162;"Julien Le Cardinal";"Brest";5;323;1;0;0.5;0.03;0.14;0.01
163;"Lilian Raolisoa";"Angers";18;851;1;1;0.75;1.36;0.08;0.14
164;"Illia Zabarnyi";"Paris Saint Germain";16;1307;1;0;0.41;0.16;0.03;0.01
165;"Tom Louchet";"Nice";15;711;1;2;0.8;2.59;0.1;0.33
166;"Samuel Amo-Ameyaw";"Strasbourg";15;498;1;1;0.7;0.56;0.13;0.1
167;"Morgan Guilavogui";"Lens";16;444;1;0;1.79;1.16;0.36;0.24
168;"Cristian Cásseres Jr.";"Toulouse";19;1563;1;0;1.51;1.03;0.09;0.06
169;"Arouna Sangante";"Le Havre";18;1570;1;0;0.28;0.09;0.02;0.01
170;"Yassine Kechta";"Le Havre";18;1021;1;1;0.94;0.94;0.08;0.08
171;"Koffi Kouao";"Metz";17;1480;1;1;0.88;0.81;0.05;0.05
172;"Oussama El Azzouzi";"Auxerre";11;821;1;0;0.7;0.52;0.08;0.06
173;"Ibou Sané";"Metz";16;520;1;1;0.33;0.94;0.06;0.16
174;"Beraldo";"Paris Saint Germain";10;743;1;0;0.38;0.03;0.05;0
175;"Mohamed Bamba";"Lorient";17;656;1;2;2.79;1.63;0.38;0.22
176;"Stanis Idumbo Muzambo";"Monaco";8;129;1;1;1.06;0.4;0.74;0.28
177;"Valentín Barco";"Strasbourg";17;1436;1;4;1.32;3.84;0.08;0.24
