"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
310;"Lucas Torró";"Osasuna";21;1541;0;1;1.56;0.96;0.09;0.06
311;"David Hancko";"Atletico Madrid";22;1762;0;2;0.79;2.05;0.04;0.1
312;"Juan Musso";"Atletico Madrid";1;90;0;0;0;0;0;0
313;"Iñaki Peña";"Elche";15;1350;0;0;0;0.12;0;0.01
314;"Aihen Muñoz";"Real Sociedad";15;573;0;0;0.12;0.26;0.02;0.04
315;"Bryan Gil Salvatierra";"Girona";19;1075;0;3;1.97;2.27;0.16;0.19
316;"Yangel Herrera";"Girona,Real Sociedad";4;210;0;0;0.51;0;0.22;0
317;"Javi Galán";"Atletico Madrid,Osasuna";10;556;0;1;0.12;1.11;0.02;0.18
318;"Alex Sola";"Getafe";1;10;0;0;0;0;0;0
319;"Giacomo Raspadori";"Atletico Madrid";12;203;0;1;0.88;0.95;0.39;0.42
320;"Andrei Ratiu";"Rayo Vallecano";19;1657;0;1;1.86;3.24;0.1;0.18
321;"Sergio Camello";"Rayo Vallecano";13;443;0;0;1.37;0.17;0.28;0.03
322;"Iván Martín";"Girona";20;1634;0;1;0.84;1.24;0.05;0.07
323;"Abel Ruiz";"Girona";3;28;0;0;0;0;0;0
324;"Leo Petrot";"Elche";19;748;0;0;0.28;0.03;0.03;0
325;"Moussa Diarra";"Alaves";3;225;0;0;0;0.02;0;0.01
326;"Carl Starfelt";"Celta Vigo";15;1132;0;0;0.33;0.08;0.03;0.01
327;"Frenkie de Jong";"Barcelona";17;1310;0;4;0.59;4.11;0.04;0.28
328;"Joseph Aidoo";"Celta Vigo";3;195;0;0;0.35;0;0.16;0
329;"Martin Valjent";"Mallorca";22;1980;0;0;0.42;0.03;0.02;0
330;"Dani Rodríguez";"Mallorca";2;56;0;0;0.02;0;0.04;0
331;"Jon Moncayola";"Osasuna";21;1839;0;4;2.05;3.67;0.1;0.18
332;"Sergio Herrera";"Osasuna";22;1980;0;0;0;0;0;0
333;"Domingos Duarte";"Getafe";19;1639;0;0;0.46;0;0.03;0
334;"Sheraldo Becker";"Osasuna";9;124;0;0;0.17;0.25;0.12;0.18
335;"Sofyan Amrabat";"Real Betis";8;593;0;0;0.11;0.19;0.02;0.03
336;"Nianzou Kouassi";"Sevilla";7;337;0;0;0.13;0;0.03;0
337;"Rodrigo Riquelme";"Real Betis";16;590;0;1;1.79;1.37;0.27;0.21
338;"Abdón Prats";"Mallorca";9;56;0;0;0.56;0.11;0.9;0.18
339;"Thierry Correia";"Valencia";14;953;0;1;0.23;1.11;0.02;0.1
340;"Unai Vencedor";"Levante";13;791;0;0;0;1.19;0;0.14
